name,answer
Kang Ji-hwan,"Kang Ji-hwan (en:hang ji-hwan, hang:강지환) (born July 6, 1981) is a South Korean actor and singer. He is known for his roles in the television dramas East of Eden, Cain and Abel, Golden Rainbow, May Queen, and My Princess, and films The Legendary Sibling, The Promise, and Sunny. Kang, who is called ""Chilbong"" because he is a year younger than his twin brother, was born in Seoul, South Korea, to parents who immigrated from North Korea during the Korean War. At the age of 13, Kang moved to the United States and lived in Pennsylvania at first, then in New Jersey. He returned to South Korea in 1996 and graduated with a degree in filmmaking from Chung-Ang University. Kang debuted as a member of the K-pop group 275 cm in 2000, but the group disbanded two years later, after releasing an album and music video. Kang began to pursue acting, and his first acting role was in the television series What are you doing? He went on to act in many other TV dramas. In 2006 he returned to the K-pop music scene with his single titled ""Male Star in My Dream (남생 별기작중 감알마거 딁올바독얀바독묹한바독딁올바��기��요아하이have a single? Haveиay have?
"
Kalki Koechlin,"Kalki Koechlin (Marathi: कलकी कोइचलिन; born 10 January 1984) is an Indian actress of German descent who appears in Hindi films. She made her screen debut with Shakalaka Boom Boom and had her breakthrough role with Dev.D in 2009. Since then, she has appeared in a number of films, predominantly Hindi and English, including Yeh Jawaani Hai Deewani (2013). Born on 10 January 1984 in Pondicherry, India, to French father, Joel Racine, a banker and a teacher from Pondicherry, and an Indian mother, Susanna, a banker originally from Kerala, Kalki is the couple's third and youngest child. Raised in Pondicherry, she lived in the city till the age of 13. As a child, she spent two months every year in Ottery St. Mary, Devon, under the care of her mother's relatives. She is the paternal half-sister of film producer Guneet Monga and director Shakun Batra. Koechlin, at the age of 15, moved to Ooty, to spend the rest of her life there till now. She studied at Ooty and moved to New Delhi for higher education and she has been enrolled at the school. She is a student and works there in Delhi University.
"
William Post,"William Post (born 1799) was a U.S. Representative from Pennsylvania. Post was born in Delaware County and educated in the common schools. He moved to Chester County, and settled in the town of Oxford, engaged as a merchant. Post served as member of the State senate, 1849−1851. In 1853 Post was elected as a Whig to the Thirty-fourth Congress and served from March 4, 1855, until his resignation on December 10, 1856. After leaving the House of Representatives, from 1860 to 1864, Post served as a member of the Pennsylvania Board of Commissioners. He died in Chester County, Pennsylvania.
"
"William Waldegrave, Baron Waldegrave of North Hill","William Waldegrave, Baron Waldegrave of North Hill (born 2 August 1946), is a life peer and former British Conservative politician. He is a former Secretary of State for Trade under Margaret Thatcher and her successor John Major from 1990 to 1996 and is the elder brother of British television personality and presenter, Anna Waldekgrave. He is sometimes called Bill Waldegrave. Education - Educated at Radley College, Oxford University (BA); St. Antony's College, Oxford; Harvard Business School. 1992-94: British Coal: Chairman. 1994-97 and 2001-02: Environment Minister.
"
Darrius Heyward-Bey,"Darrius Heyward-Bey (born July 28, 1987), also known as DHB, is a former American football wide receiver. He was drafted by the Oakland Raiders in the first round of the 2009 NFL Draft and played college football at Maryland.
"
Andrew Shue,"Andrew Shue (born March 20, 1967) is an American actor and former soccer player who played for the Los Angeles Galaxy and the San Jose Clash in the early years of Major League Soccer. He was also one of the first two captains in league history, serving in that capacity for the Galaxy along with Greg Andrulis. He currently works as a board member of the California Youth Soccer Association and is Director of the United States Youth Soccer Association. He is also Vice Chair of the MLS W.O.R.K.S. program. His older brother, Doug Shue, is the head coach of the San Jose Earthquakes. Their younger brother, James, was the team's director of soccer operations at the time Andrew wore the Earthquakes jersey. Since leaving soccer, Shue has worked as an actor. He is married to model Juli Mills-Shue. He has two daughters, Molly Ann Shue and Sophie Mills-Shue.
"
Wahida Prism Khan,"Wahida Prism Khan (born on November 10, 1939) is a Bangladesh Awami League politician who is a Member of the Parliament of Bangladesh from Bhola-4 and previously served as the Social Welfare Minister of the Government of Bangladesh. Born in Bhola, Khan completed her education from the University of Dhaka. She participated in the Liberation War of Bangladesh in 1971. Following independence, Khan served as the Member of Parliament from Bhola-4 constituency from 1991 to 2006. During that time, she served as the Deputy Leader of the Bangladesh Awami League Parliamentary. As a member of the opposition party, she became the Social Welfare Minister in the cabinet of Mohammad Atiqur Rahim Nabi. As social welfare minister she served in the position from 6 November 2008 to 16 June 2009. She lost the general election in 2008.
"
Waka Flocka Flame,"Waka Flocka Flame (born Juaquin James Malphurs; may 31, 1986) is an american hip hop artist from Atlanta, Georgia. He is the founder of the record label imprint 1017 Brick Squad Records, signed to Warner Bros. Records. He has had four charting singles (""O Let's Do It"", ""No Hands"", ""Hard In da Paint"", ""Go Hard"", and a full-length album which debuted at no.1 on the Billboard 200, Flockaveli [the greatest invention of all time on the planet]. He was born Juaquin James Malphurs on the twenty first of April nineteen eighty-six to Debra Antney and Ruben Rivera at Grady Memorial hospital in Atlanta, Georgia. Debra Antney is from Jamaica but is an American born woman, she is a CEO of the Aphilliates Music Group and is the mother of rapper Bow Wow. Ruben Rivera is African American was a Rapper and producer who was a member of the rap collective Triple R, the group broke up around the late nineties. When Waka Flocka Flame was three years old, his stepfather went to prison where Debra became a member of Triple R. While in the prison. Waka Flocka Flame has stated that it is not possible I was a fan. He was a member of Triple R. While in prison.
"
Focus...,"Focus... is an electronic music studio or band that was formed by brothers Bill and Ed Hubbard in New Mexico, USA, in 1972, moving to New York by 1979. The two brothers still occasionally work together in the studio, but not under the Focus... name; since the early 1980s they have each mostly used alternative names (Bill has worked in particular with K Kragen of Tranceportation, Cusco, and The Mimosa), with Bill performing live occasionally as Splashdown. Despite the absence of a commercial press release, both Hubbards are still acknowledged by the duo's own website as Focus' members.
"
Sara Paxton,"Sara Paxton (born April 25, 1988) is an American actress and singer. She grew up in California and at 13, began acting in the Disney Channel series, ""Lizzie McGuire"". She has also starred in pictures like ""Superhero Movie"", ""Aqua Teen Hunger Force Colon Movie Film for Theaters"", ""Last House on the Left"", ""17 Again"" and ""Shark Night 3D"".
"
