question,answer
Enzymes can catalyze up to several million reactions per what?,['second']
The muscular layer is much thicker in which ventricle of the heart?,['ventricle']
"During evolution, something happened to increase the size of what organ in humans, relative to that of the chimpanzee?",['brain']
What happens to energy when work is done by a system?,['energy is stored in the system or its surroundings']
Hertz proved that what type of waves travel at the speed of light?,['electromagnetic']
"Habitat loss caused by human actions is a prime culprit in what phenomenon, which appears to be occurring for a sixth time?",['mass extinction']
What is the watery fluid that bathes tissues and organs and contains protective white blood cells but does not contain erythrocytes?,['interstitial fluid']
"What useful tool helps scientists work with, understand and make predictions about extremely complex systems?",['models']
What are alveoli?,['small hollow sacs at the tip of each lung']
What is the resultant waste product of photosynthesis?,['oxygen']
What is the physical transformation of an insect moving through stages of life?,['metamorphosis']
Who wrote the book on the origin of species?,['Charles Darwin']
Bursitis is the inflammation of a bursa near what?,['joint']
"Traditionally, what preventative measure used weakened or inactive forms of microorganisms or viruses to stimulate the immune system?",['vaccine']
How many mass extinctions have occurred throughout earth's history?,['five']
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,['voltage']
"What does an invertebrate, like a snail, not have?",['backbone']
Most of the fresh water on earth is tied up in a solid form. what are they called?,['glaciers']
The added nutrients from fertilizer often cause excessive growth of what organism?,['algae']
What is the only animal phyla that does not consist exclusively of invertebrates?,['chordates']
An increase in the number of gas molecules in the same volume container causes what to increase?,['pressure']
Lenses that focus light are called what?,['converging lens']
Each bond includes a sharing of electrons between atoms. two electrons are shared in a single bond; four electrons are shared in a double bond; and six electrons are shared in this?,['triple bond']
Which sphincter is located at the stomach end of the esophagus and opens to allow the bolus to enter the stomach?,['esophageal']
What part of the neuron is a large structure with a central nucleus?,['the axon']
What is the most important source of electromagnetic waves on earth?,['the sun']
What is matter in the universe that does not emit light called?,['dark matter']
What allows some things to enter the cell while keeping other things out?,['cell membrane']
What happens to water when it freezes?,['Its volume increases']
What rock group offers the richest source of fossils?,['limestone']
In what type of organisms are daughter cells individuals?,['pluricellular']
Haversian canals contain blood vessels and what else?,"['lymphatic vessels, nerves']"
What happens to light when it passed from air to water?,['does not change']
What term describes the distance between two corresponding points on adjacent waves?,['wavelength']
The temperature at which a substance melts is called its what point?,['melting point']
What branch of science explains much of what you observe and do in your daily life?,['physics']
What part of the sperm contains the nucleus?,['head']
"What broad group of organisms is characterized by sensory organs, the ability to move, internal digestion and sexual reproduction?",['animals']
"Expansion of a gas into a vacuum is irreversible because the external pressure is measurably less than the internal pressure of the gas, and no states of what exist?",['equilibrium']
"The male gametophyte releases what, which swim - propelled by their flagella - to reach and fertilize the female gamete or egg?",['sperm']
What opens two strands of dna?,['helicase']
"Most mammals are viviparous, which refers to what reproductive result?",['live birth']
What force occurs because no surface is perfectly smooth?,['surface tension']
"Which science is an extension of genetics, evolution, anatomy, physiology, and other biological disciplines?",['biochemistry']
"A sealed, vacuum-insulated reaction flask approximates what condition, in which neither matter nor heat can be exchanged between system and surroundings?",['closed system']
In which constellation is the helix nebula located?,['aries']
Population size is the number of what in a population?,['individuals']
What is the the process by which remains or traces of living things become fossils called?,['fossilisation']
What process takes place when plants release water vapor through pores in their leaves called stomata?,['transpiration']
Do vascular or nonvascular plants lack tracheids?,['vascular']
How do very massive stars end their lives?,['Explosion called a supernova']
Many plants respond to the days growing shorter in the fall by doing what?,['going dormant']
What are reptiles unable to absorb through their skin because of scales?,['Vitamin D']
What do astronomers term the stretching of space that causes the distance between galaxies to increase?,['galaxy redshift']
The lithosphere is divided into a dozen major and several minor what?,['tectonic plates']
What term describes reproducing by external fertilization after the female sheds large numbers of small eggs?,['spawning']
The three-dimensional spaces with specific shapes that are components of electrons shells are known as what?,['orbitals']
Movements in the mantle cause the plates to move over time in a process called what?,['plate tectonics']
Spongy bone is found inside bones and is lighter and less dense than compact bone because it is what?,['porous']
"Animals are heterotrophs, which means that they cannot make their own what?",['food']
Hypersection by an endocrine gland is often caused by what?,['disease']
"What ingredient has been used in brewing, winemaking and baking for thousands of years?",['yeast']
"Temperature and precipitation determine the types of what that can grow in an area, in turn affecting the animals that live there?",['biomes']
What unit do astronomers use to describe distances in space?,['light-year']
What are solids with high melting and boiling points?,['ceramics']
What crucial role does beneficial fungi play?,['They help with crop production']
"What arises due to crossing over, independent assortment, and the random union of gametes?",['genotypic variation']
What are the most successful phylum of plants?,['grasses']
"The components of a mixture keep their own identity when they combine, so they retain what type of properties, such as boiling point and ability to dissolve?",['physical properties']
Ingestion and propulsion are the first two steps in which process that describes how humans process and consume food?,['digestion']
Plant-like protists contains chloroplasts and make food by what process?,['photosynthesis']
The electrode at which oxidation occurs is called?,['anode']
The type of bond that forms between molecules is called what?,['chemical bond']
What do charged particles in motion generate?,['magnetic flux']
What is another name for the vertebral column?,['spinal column']
Reacting with metal is one thing that distinguishes acids from what?,['bases']
Malonate plays what negative role on the enzyme succinate dehydrogenase?,['inhibitor']
What are the simplest organic compounds?,['alkanes']
An object attached to a spring sliding on a frictionless surface is an uncomplicated type of what device?,['simple pendulum']
"Radiation, chemicals, and infectious agents are examples of what?",['toxins']
About how tall can mid-ocean ridges be?,['3km tall']
What does a continuous string of earthquakes indicate about a volcano?,['imminent eruption']
"A rock that contains important minerals is called what, a term associated with mining?",['ore']
"Arthropods today have two unusual hox genes, both of which influence what?",['segment number']
What is the third class of elements after metals and nonmetals?,['metalloids']
"Breathing involves differences in what, measured in torr, between the inside of the lungs and the air outside?",['the pressure']
How many chambers are there in a bird's heart?,['two']
What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,['atomic mass unit']
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",['vitamin D']
What is citrate an ionized form of?,['citric acid']
What are the small molecules or proteins produced by bacteria that regulate gene expression?,['bacterial toxins']
What term is used to describe the development of new technology?,['technological development']
A high metabolic rate and hair are ways mammals generate and conserve what?,['body heat']
Which type of tree is dominant in temperate forests?,['oak']
"One important phenomenon related to the relative strength of cohesive and adhesive forces is capillary action—the tendency of a fluid to be raised or suppressed in a narrow tube, or called this?",['surface tension']
The ionic end of a detergent can either be a sulfate or what?,['benzene']
"Salicylic acid is used in the synthesis of acetylsalicylic acid, or more commonly called?",['aspirin']
What is utilized to analyze simple mendelian inheritance?,['pedigree']
What involves sensing and focusing light from people and objects?,['the eye’s visual system']
What type of reactions absorb heat from their surroundings?,['exothermic reactions']
The behavior of ideal gases is explained by what theory of gases?,['kinetic molecular theory']
What type of map reveals the shape of a landscape?,['topographic']
What do scientists think to be the oldest eukaryotes?,['euglenozoans']
Electricity consists of a constant stream of what tiny particles?,['charge']
What kind of weather do psychrophiles need to grow and reproduce?,['cold weather']
"The inside of the small intestine has many folds, called villi. microvilli are lined with blood vessels as well as lymphatic vessels. the inside of the small intestine is called this?",['crypts']
What kind of muscle is the heart mainly composed of?,['smooth muscle']
The skin disease impetigo is caused by spread of what type of microorganism?,['bacterial']
Chelicerae in spiders are often modified into fangs that perform what function?,['inject venom']
What makes up the dense outer layer of bones?,['ossein']
What is the height above or below sea level called?,['elevation']
Viruses replicate only in where?,['living cells']
Earth's axis is an imaginary line passing through which poles?,['north and south']
"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",['rods and cones']
Which system are the brain and spinal cord apart of?,['nervous system']
When liquid water changes to water vapor it is called?,['evaporation']
What type of plants does human welfare depend greatly on?,['crop plants']
What is the term for a series of biochemical reactions by which an organism converts a given reactant to a specific end product?,['metabolic pathway']
What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,['metallurgy']
A vector is any quantity that has magnitude and what?,['direction']
Compounds containing which element are the basis of all known life?,['carbon']
Matter is made up of a mixture of things called what?,['atoms']
"Monosaccharides, disaccharides, and polysaccharides are types of what kind of macromolecule?",['carbohydrates']
Exons are cut out before what leaves the nucleus?,['mRNA']
What is the phenotypic range of a particular genotype called?,['the genotypic range']
A solenoid wrapped around a bar of iron or other ferromagnetic material forms what?,['electromagnet']
About what percentage of the earth's water is fresh water?,['2.5%']
The amount of heat required to raise a single mass unit of a substance by a single temperature unit is known as what?,['entropy or specific heat capacity']
"Carpal, metacarpal and phalanx bones comprise what part of the body?",['palmar bones']
Carnivores that eat herbivores are what kind of consumers?,['secondary']
Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,['hemodialysis']
What soil is common in deciduous forests?,['podsol']
"When mendel crossed purple flowered-plants and white flowered-plants, all the offspring had what color flowers?",['purple']
What type of cells detect stimuli?,['Sensory neurons']
What is the term for viscous magmas that are high in silica and tend to stay below the surface or erupt explosively?,['high silica melts']
An individual virus is called what?,['Virus']
A dilute solution is one that has a relatively small amount of what?,['solute']
"What is an estimation of all of the organic matter available as food, and involves measuring biomass in terrestrial environments?",['the food chain']
The chains in cellulose stack in parallel rows held together by hydrogen bonds between which groups?,['H-oxygens of adjacent glucose units']
Most fungi get organic compounds from what?,['the living or dead tissues of plants and animals']
"What is the term for groups of cells with a similar appearance and a common function, and describes how cells are organized?",['tissue']
What structures located on chromosomes control characteristics of life and are passed from parents to offspring?,['genes']
The energy required to remove an electron from a gaseous atom is called?,['ionization energy']
What is the name of microscopic channels which traverse the cell walls of plants?,['plasmodesmata']
What is the name of the skull that covers the brain and protects it?,['cranium']
What takes place where septa is found?,['budding']
Chemical reactions involve a transfer of heat energy. measured in what?,['calories']
"Horny ridges on the jaws serve the same function as what, for turtles?",['teeth']
The main shaft of the penis is covered by relatively thick what?,['fibroelastic tissue']
What are the smallest structural and functional unit of all living organisms?,['a cell']
Oxygen is combined with what to form water?,['hydrogen']
What navigation technology works on the same principle as echolocation?,['SONAR']
The primary motor cortex is located in which lobe of the brain?,['frontal lobe']
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",['plant']
"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",['diameter']
What type of biomes have water containing little or no salt?,['wetlands']
Childbirth usually starts when which sac breaks?,['amniotic sac']
What sort of walls are helpful for keeping a slope stable?,['buttresses']
Which planet is named after the roman goddess of love?,['venus']
Do changes to rocks happen quickly or slowly?,"['slowly SYSTEM: Okay, it seems that you know a lot about science. Did you get the help you needed?']"
Which is one of the most frequently studied cartilaginous fish?,['stingray']
What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,['bird']
What is the measurement of something along it's greatest dimension called?,['length']
What phase does the nuclear envelope begin to break down?,['metaphase']
"In an ecosystem, what do you call organisms like lions that capture and kill other animals for food?",['predators']
What is essential for population of all species to expand greatly?,['time']
Which property of diamond makes it so hard?,['The strongest bond']
"All of the populations that live in the same area make up what type of group, which includes populations of different organisms?",['a community']
What acids are the structural components of many lipids and may be saturated or unsaturated?,['fatty acid']
"Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?",['kidneys']
The ileum is the last part of what digestive system organ?,['The small intestine']
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",['fossils']
Where in the target cells are intracellular receptor proteins found?,['cytoplasm']
The relationship between a nucleotide codon and its corresponding amino acid is called what?,['the genetic code']
"What nervous system is divided into two parts, the sensory division and the motor division?",['peripheral nerve system']
What is stored mainly in liver and muscle cells by humans and other vertebrates?,['glycogen']
"Water is considered a what since it is a polar molecule with slightly positive and slightly negative charges, so ions and polar molecules can readily dissolve in it?",['a solvent']
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",['fluorescence']
"The three units of kpa, atm or mmhg commonly measure what?",['pressure']
What contains positive protons and neutral neutrons?,['nuclear']
What term describes the process of vesicles fusing with the plasma membrane and releasing their contents to the outside of the cell?,['exocytosis']
"The products of what process are needed for cellular respiration, and vice versa?",['photosynthesis']
"Trees, which can be planted and harvested, are an example of what type of resource?",['renewable']
What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,['fission']
Wearing personal protective equipment such as goggles and gloves during an experiment is an example of what?,['laboratory safety']
"Schrödinger’s approach uses three quantum numbers (n, l, and ml) to specify any of what type of function, associated with a particular energy?",['energy levels of the quantum mechanical wavefunction']
"In weather terms, what do you call the boundary between two air masses?",['front']
"When compared to anaerobic respiration, what does aerobic respiration release more of?",['much more ATP']
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,['elephantiasis']
What term means the amount of water vapor in the air?,['humidity']
What are the two components of all solutions?,"['solute and solvent This is the current state of artificial intelligence in its infancy. It is like the infant that is taking its first steps. So far, we’ve managed to teach the AI \u200b\u200bsimple tasks like math']"
Chewing insects mechanically damage plants and lessen the surface area of leaves for what?,['Photosynthesis']
What is the term for air moving over earth’s surface?,['a wind']
"Bones, cartilage, and what other thing make up the skeletal system?",['tendons.']
"While elements are represented by chemical symbols, chemical formulas represent what?",['the number and types of elements in a sample of that element USAGE FLOW']
Cells that have a nucleus and other organelles which are membrane-bound are generally called what kinds of cells?,['eukaryotic']
Acidic hydrogen atoms are those which will be transferred to what?,['base']
"What absorbs, scatters, or reflects most incoming solar radiation in the atmosphere?",['clouds']
"In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. these animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and this?",['anus']
Where is the spinal trigeminal nucleus located?,['spinal cord']
"Exothermic reactions, like all chemical reactions, require what to get started?",['activation energy']
What are classified by climatic factors and types of primary producers?,"['biomes, biome is a climatically and geographically defined area of ecosystems that share the same characterist']"
What is the outer layer of the exoskeleton called?,['cuticle']
Vivipary refers to the development and nourishment of a what?,['embryo']
What are plants that grow on other plants called?,['epiphytes']
"Twenty-four hours before fertilization, the egg has finished meiosis and becomes a mature what?",['oocyte']
"If the water vapor condenses in liquid droplets as clouds form, what is released in the atmosphere?",['latent heat']
Which is a more reliable trait or measure to identify minerals?,['physical property']
How do animals obtain nitrogen?,['nitrogenous fertilizer']
What is the term for a measure of both speed and direction?,['velocity']
"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",['motion']
"Speed, loudness, and pitch are properties of what?",['energy waves']
What is the basic unit of the structure and function of living things?,['cell']
"Like the platypus, the echnida is a what?",['mammal']
"If the dna from all 46 chromosomes in a human cell nucleus was laid out end to end, it would measure approximately how long?",['1 m']
"In astronomy, what are so dense that not even light can escape their gravity?",['black holes']
"The right and left hip bones, with the addition of the sacrum and coccyx form what section of the skeleton?",['pelvic girdle']
"Proteins are categorized according to shape and what property, which correlates with it?",['function']
Type 1 diabetes and gigantism are examples of what type of disorder?,['hormonal disorder']
"Recent evidence indicates some of what type of cells remain within the heart, continuing to divide and potentially replace dead cells?",['stem cells']
The goal of this is the understand how and why things happen?,['Scientific Method']
How does a neon light produce visible light?,['a current is passed through neon in which emits light at its specific wavelengths corresponding to the colors it produces']
"Digestive enzymes are released, or secreted, by the organs of which body system?","['excretory system When building a chatbot, a common error is to treat the user as if he were a human. Chatbots are not humans, so when building them, they should not think like humans. You don’t']"
A fuel cell is a galvanic cell that requires a constant external supply of what?,['fuel']
Channel proteins form what in the membrane?,['pores']
What is the organ system that brings oxygen into the body and releases carbon dioxide?,['respiratory']
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",['nitrogen']
What forms when nitrogen and sulfur oxides in air dissolve in rain?,['acid rain']
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,['a bar graph']
What separates one river system's basin from another river system's basin?,['divide']
"Yeasts, molds, and mushrooms are all different kinds of what?",['single-celled fungi']
What are the specialized cells that sponges have?,['choanocytes']
Non-human organisms that mainly consume plants/other primary producers are known as what?,['primary consumers']
The chemical and/or physical agents that cause mutations are called what?,['mutagens']
What is a rock that contains important minerals called?,['an ore']
What color is phosphate mineral turquoise?,['blue-green to green color']
What are most cells surrounded by?,['cell membrane']
What living species of bird is considered the  largest of the raptors?,['golden eagle']
How many viruses that can cause cancer in humans have been identified by scientists?,['none']
Reactants may also be present in such low concentrations that it is unlikely they will meet and do what?,['form products']
Cardiac muscle is found only in which part of the heart?,['myocardium']
Salts that are neither acidic nor basic do not affect what property of the solution when dissolved in water?,['pH']
What protects the brain and spinal cord in the central nervous system?,['meninges']
Does lava flow quickly or slowly when thick?,['slowly']
What do metals start out as?,['ores']
What is equal to the angular acceleration multiplied by the radius of the rotating object?,['torque per second squared']
What is the process called where nitrogen is repeatedly recycled through the biosphere?,['nitrogen cycle']
Melting ice is drastically impacting the number of what at glacier national park?,['glaciers']
What begins with a diploid cell and ends with four haploid cells?,['meiosis']
A reaction producing heat is what type of reaction?,['exothermic']
What are plants that are adapted to very dry environments called?,['xerophytes']
Centrioles help organize the chromosomes before cell division so that each daughter cell has the correct number of what?,['chromatids']
The bilaterians are divided into deuterostomes and what else?,['protostomes']
What is the side to side movement of the mandible called?,['Lateral motion']
What type of bombs put a much larger fraction of their output into thermal energy than do conventional bombs?,['nuclear weapons']
What functions in removing phosphorylated amino acids from proteins?,['phosphatases']
When water is aerated it can provide a plant's roots with what gas for cellular respiration?,['oxygen']
What are the two types of digestive systems invertebrates may have?,['simple and sytematic circulatory']
"What process, which is in many ways the opposite of photosynthesis, shows the interdependence of producers and consumers?",['heterotrophic nutrition']
What is the female reproductive structure of a flower?,['pistil']
"The invention of the wheel is an example of what, which has the goal of solving human problems?",['technology']
What model describing atomic structure is often referred to as a planetary model?,['bohr model']
What anatomical feature is shared by all chordates?,['notochord or a precursor of it']
Certain air pollutants form which liquid when dissolved in water droplets in the air?,['ozone']
"Besides the size of their crystals, how are igneous rocks grouped?",['their composition']
"Oxygen, carbon dioxide, atp, and nadph are reactants in what process that plants use to produce food?",['photosynthesis']
"Magnets have a ""north"" and a ""south"" what?",['pole']
What percentage of the field is tilled in traditional plowing?,['100%']
"When present in large volumes, what color hue can water emit?",['green']
What determines how long a planet's orbit is around the sun?,['the period']
What record shows that dinosaurs originated 200-250 million years ago?,['fossils']
All organisms can be classified into one of three of this least specific grouping?,['domains']
"When sediments settle out of water, what do they form?",['a sedimentary rock']
What group of animals has adapted to live in both water and on land?,['amphibians']
The percent yield is determined by calculating the ratio of actual yield by what?,['theoretical yield']
What system provides a major route for heat flow between the interior and exterior of the body?,['cardiovascular system']
What type of mechanical weathering occurs when one rock bumps against another rock?,['abrasion']
What results from uncontrolled cell division?,['cancer']
Where does the energy produced by plants come from?,['sunlight']
What is the process by which organisms give rise to offspring?,['reproduction']
What do you call health-promoting molecules that inhibit the oxidation of other molecules?,['antioxidants']
Atoms of different elements have different numbers of what?,['protons']
"Highly reactive nonmetals, which only accept electrons and do not give them up, make poor what?",['reducing agents']
Calcium ion is an example of what kind of messenger?,['an inter-cellular signaling between cells']
"Two significant parts of the heat include the atrium and its counterpart, which is what?",['ventricle']
What is the blood in the body pumped with?,['heart']
Questioning claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes is called what?,['the scientific method']
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,['conidiophore']
Most insects reproduce quickly and through what type of reproduction?,['sexual reproduction']
What are catalysts in living things called?,['enzymes']
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",['volatile content']
Mitosis actually occurs in how many phases?,['five']
Oranges and lemons are examples of fruits that contain what acid?,['citric acid']
On what lobe of the liver is the gallbladder near?,['right lobe']
What is a vector quantity with the same direction as the force called?,['momentum']
