question,answer
how is whooping cough distinguished from similar diseases,['The diagnosis of pertussis is primarily clinical or by serology with polymerase chain reaction (PCR) as a supplemental diagnostic tool.']
what happened to george o'malley on grey's anatomy?,"['George ""McSteamy"" O\'Malley is a fictional character on the ABC television series Grey\'s Anatomy, which premiered in 2005.']"
what is the oath of allegiance of the united states,"['I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation']"
what is the social norm approach?,"['The Social Norms approach is a set of techniques and practices developed to help schools, colleges and universities reduce problems with alcohol and other drug issues and create a climate of respect and success for all students.']"
how many grams in a troy ounce of gold,['1 troy ounce has a weight of 31.1034768 grams.']
what school did Zach Thomas play for before making it in to the NFL,"['Thomas started for the Texans, playing for one season in Houston in 2007.']"
when did the movie deep blue sea come out,"['It was filmed in Wilmington, North Carolina, with exterior scenes filmed aboard the ship USS Battleship Cove ( BB-53).']"
how are antibodies used in,"['Antibodies have important applications in biological research. Aside from their use in basic research, antibodies are important in biological applications such as detection of specific proteins and in vivo tracers in fluorescence micro']"
how a water pump works,['The pump transports the water to one or more storage tanks where the pressure is high enough to be used in the home.']
how many amendments in us,['There have been a total of 27 amendments.']
what are layers of the ionosphere,"['The ionosphere consists of multiple layers, the boundaries of which are defined (or in some cases, not defined) by values of the critical frequency of the electron plasma frequency or the Langmuir frequency (the frequency at which electromagnetic']"
what is active learning strategies,"['Active learning is ""a method of learning in which students are actively engaged in the learning process through the creation of meaning or understanding, and in which students build on prior knowledge and skills"".']"
when was the tacoma bridge collapse?,"['The Tacoma Narrows Bridge collapsed on November 7, 1940, in spectacular fashion, after less than two months in operation.']"
what is homebrew for wii,['Homebrew is any computer software or hardware developed by an amateur enthusiast rather than a commercial or government entity.']
what does gloria in excelsis deo mean,"['Most commonly, this is used in the opening to the Latin Mass in the Roman Catholic Church, the Orthodox Church, and the Anglo-Catholic tradition of the Anglican Communion.']"
What are the different translations for the Bible,['The Holy Bible contains the inspired writings of God and is known as the Holy Scriptures or The Word of God.']
WHAT IS A FY QUARTER,"['An FY quarter, as an income, corresponds to the quarter or fiscal year of a business.']"
what are private labels,"[""Private label products are those which are manufactured by one company for offer under another company's brand name.""]"
how much did yankee stadium cost,['Cost $2.3 billion.']
what is the erb/heart,['The Endothelial Receptor-Dependent Biological (ERB) System is a receptor-dependent biological system that is activated by ligands that bind to cell surface membrane receptors.']
what are points on a mortgage,['Points are basically fees charged throughout the life of the loan and are used to originate a loan.']
WHAT ARE HERITABLE TRAITS,['Heritability is a measure of the total effects of genes that contribute to variation in a phenotypic trait.']
who said tv is a vast wasteland,"['In a speech before the 1961 American Television and Radio Industry, FCC chairman Newton Minow called commercial television a ""vast wasteland: a desert, a vacuum, a tomb, a cemetery"" filled']"
what species is a spider,"['A spider is a type of Araneae, a member of the arthropod class.']"
what is the ingredient in mustard,"['Mustard seeds were probably brought to North America by early European explorers in the 17th century, one of the first North American crops grown for the spice, rather than the oil.']"
where in oregon is albany,"['Albany is the county seat of the government of Linn County, Oregon, which is located in the Willamette Valley at the confluence of the Willamette and Calapooia rivers.']"
what makes of the united states,['The United States of America is a federal constitutional republic comprising fifty states and a federal district.']
where was the first real roller coaster,"['According to TPR (Themed Entertainment Association), the first roller coaster was actually constructed in the 1760s in Russia by Gravitron (roller coaster) Ivan Elagin.']"
what percentage of water in in the body,"['In an adult, overall water content is about 50 to 65% of body weight, depending on body composition.']"
what would be the deliverables,"['Deliverables are the products, services, or results that a seller or provider promises to deliver (produce and, if applicable, install) as defined in a project contract. This includes the specifications of all work to be performed to complete']"
what is the great basin area,"['""Great Basin"" is used in the United States to describe a physiographic region in the western U.S., although its area is small and does not cover most of the Basin and Range area which defines a larger geotect']"
where is humboldt ks,"['Humboldt is a city in Allen County, Kansas, in the United States.']"
how many players on a side for a football game,"['A football team must have at least eleven players on the field at once, and no more than twenty-two.']"
what is the function of the liver,"['It is a light brownish-yellow, rubbery, triangular-shaped organ that sits on the right side of the abdomen, below the diaphragm.']"
who is st patty?,['Saint Patrick is the patron saint of Ireland.']
how kimberlite pipes form,"['A Kimberlite pipe is a volcanic pipe of a rare form thought to be the source of diamonds. Other possible sources of diamonds are lamproites and diatremes; diamonds have been recovered from them,']"
what is name of national anthem song of switzerland,"['""Switzerland\'s national anthem, with lyrics from the ""Cantons\' Song"" and music from the 1841 song "" Rufst Du Mein Vaterland \'"", was selected by popular vote in 1']"
who designed the statue of liberty,['The Statue of Liberty (Liberty Enlightening the World (French : La Liberté éclairant le monde) ) is a colossal neoclassical sculpture on Liberty Island in New York Harbor']
what is an army specialist,"['The Army calls all such personnel specialists, though other branches often use distinct titles: In the Marine Corps, such a person is a Noncommissioned officer, typically a Gunnery Sergeant ( E-7; pay grade E-7']"
what is a popular people meter,"[""A small device called a People Meter is installed in a family's television for viewing data collection by a nationwide measurement service to estimate a show's popularity""]"
what is a notary for,"['Notaries public (or notaries) are public officers constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business. :']"
what bacteria grow on macconkey agar,['MacConkey agar: a differential medium for the isolation of enteric bacteria; used for the cultivation and differentiation of lactose fermenting bacteria']
what are d.o. of medicine,"['Osteopathic physicians (D.O.s) practice in all areas of medicine, including primary care and specialty areas.']"
where is La Palma africa,"['La Palma (Spanish for ""the palm"") is an island in the Canary Islands, and is also one of the smaller Canary Islands with an area of 706 km2(272 sq miles), including']"
who wrote a rose is a rose is a rose,"['Gertrude Stein was an American novelist poet, playwright, and art collector.']"
what is a wwII theater,"['In the context of World War II, a theatre in which a war took place is normally called a ""war theatre"", or a ""theatre of war "".']"
who are all of the jonas brothers,['Nick Jonas Kevin Jonas III.']
how did John F. Kennedy die?,"['Kennedy was assassinated at 12:30 p.m. (CST) on Friday, November 22, 1963, in Dealey Plaza, Dallas, Texas, while travelling with his']"
what year was the eiffel tower made,"['The construction of the Eiffel Tower began in January 1887 and was completed on March 31, 1889.']"
who wrote west side story,"['The musical ran for 732 performances, winning a Tony Award for Best Musical.']"
how many seasons were there of the wire,"['The Wire ran for five seasons (2002–2008), and was broadcast by the American cable network HBO, created and primarily written by former police reporter David Simon.']"
where is the brisket from,"['The brisket comes from the pectoral portion of the animal carcass. In pigs the pectoral refers to the shoulder blade. In cows, brisket comes from the front portion of rib cage and breast']"
who is the founder of twitter,"['Jack Dorsey, Noah Glass, Biz Stone and Evan Williams are frequently credited as being the four original founding fathers of Twitter.']"
what does righteousness mean,['Righteousness (or righteous) describes a state of moral correctness attained through intention and effort.']
what can be powered by wind,['Wind power is commonly used as an alternative to burning fossil fuels for making electricity.']
How much did Waterboy grossed,['Waterboys  grossed $162.6 million worldwide.']
how does interlibrary loan work,"[""It is a procedure that provides access to materials not available in a library's own collection.""]"
what is a neuro tract,"['The white matter contains the axons and dendrites, while the gray matter contains the cell bodies and dendrites.']"
what is the color puce,"['Puce is usually a red-brownish purplish colour which resembles the French word for flea, puce.']"
who wrote the song for star wars,['John Williams composed and wrote the theme music for the films.']
what is sodium hypochlorite solution,"[""Sodium hypochlorite is usually supplied as a liquid, so it should be stored in a container that can be easily labeled with the product name and the manufacturer's use instructions.""]"
what is brown flax,"['Linseed oil, also known as flaxseed oil, is a colourless to yellowish oil obtained from the dried, ripened seeds of the flax plant.']"
what type of business is walmart,"['At that time, Walmart operated 1,789 stores generating US$95.14 billion in sales.']"
What happened during the Starving Time in Jamestown?,"['The Starving Time is the term for the period of January through August 1609 when the colonists at Jamestown, Virginia, endured a severe shortage of food, during which half of them died.']"
who played the lead roles in the movie leaving las vegas,"[""Leaving Las Vegas is a 1995 American film drama directed by Mike Figgis, based on John O'Brien's semi-autobiographical 1990 novel of the same name. :""]"
what does s.h.i.e.l.d stand for,"['S.H.I.E.L.D. is depicted as an acronym for Strategic Homeland Intervention, Enforcement and Logistics Division (often misinterpreted as simply Strategic Homeland']"
Who was Daniel J Daly?,"['Daniel Joseph ""Dan"" Daly (August 15, 1873 – April 27, 1937) was a United States Marine Corps officer who fought in both the Boxer Rebellion and World War']"
what day is st. patricks day,"[""St. Patrick's Day is a cultural and religious holiday. It celebrates a legendary figure in Ireland's history, and has become a celebration of Irish culture in general. Although St. Patrick's Day celebrations occur around""]"
what is adoration catholic church,"['The Adoration Society, based in Doha, Qatar, is a society to which all Catholics in Qatar may belong.']"
What are procedure codes terms in coding?,"['Surgical procedures are typically referred to by procedure codes, which are a group of numbers used to identify particular medical procedures.']"
how old was sue lyon when she made lolita,"['It was also adapted into a television drama by the BBC, the title Lolita: Secret Diary of a Teenage Convict.']"
how jameson irish whiskey is made,"['Jameson makes all of its Irish whiskies from barley malt, which is mixed with water in mills and ground to create a fine grist.']"
what is a newsgroup message,"['A newsgroup is a collection of messages in a specific area of interest. Messages are formatted and displayed as a thread, either chronologically (latest at the top) or by threading. Messages can also be viewed hierarchically as']"
