question,answer
what is customary at shiva,"['Customs (customs and traditions, sometimes archaically called ""custum"") also known as cultures, are a society\'s set of unwritten, unspoken rules about how to behave. These rules are different for every']"
what is the actresses name that played in walk that line?,"['Reese Witherspoon (born March 22, 1976) is an American actress, film producer, and occasional singer.']"
where was martin luther king shot?,"['On April 4, 1968, King was shot dead on the balcony outside his room at the Lorraine Motel in Memphis, Tennessee.']"
when does the royal standard fly?,"['Although the Royal Standard was flown throughout the United Kingdom on royal personages and royal residences, it was only flown from the time of the Hanoverians when the king travelled throughout the country that it came to be used at all government']"
when did proof die,"['Proof (or to prove, to prove by, to prove +, etc.) is a term with multiple meanings in mathematics, philosophy, and logic.']"
what is in a tequila sunrise?,"['Tequila Sunrise is a cocktail of tequila, orange juice, and grenadine syrup, served in a cocktail glass and garnished with a lime wedge.']"
what is the purpose of child support?,"[""In many parts of the world, a person's economic and social status is closely tied to that of their parents.""]"
how many humps on a camel,['A dromedary camel has one hump; a Bactrian camel has two humps.']
who is st patty?,"[""Saint Patrick's Day or the Feast of Saint Patrick is a cultural and religious celebration held on 17 March, the traditional death date of Saint Patrick, the foremost patron saint of Ireland.""]"
what is brown flax,"['Flax ( Linum usitatissimum ) is a crop cultivated in regions in the temperate zones of the world and used to produce linen fibre, seeds, oil, and medicinals.']"
how many players on a side for a football game,"['American football in modern times has two teams of 11 players on the field, although most professional and college teams have a starting lineup of 11 players and several substitutes.']"
where is humboldt ks,"['Humboldt is a city located in Allen County, Kansas, United States.']"
when was Mary Anderson born,"['Anderson was born in Lancaster, Pennsylvania, December 28, 1866, the eldest of eight children.']"
What are the different translations for the Bible,"['There are many translations of the Bible, including those mentioned below.']"
what is a wwII theater,"['World War II was a global war that lasted from 1939 to 1945, though related conflicts began earlier.']"
who wrote the song hallelujah,"['Hallelujah is a song written by singer-songwriter Leonard Cohen, originally released on his album Various Positions (1984).']"
what is name of national anthem song of switzerland,"['The Swiss Psalm is the national anthem of Switzerland, an instrumental piece which is also the Swiss military marching song.']"
where was hillary clinton born,"['Hillary Diane Rodham Clinton (born October 26, 1947) is the 67th United States Secretary of State, having served in the position since January 21, 2009.']"
what company is cricket wireless by,['Cricket () is a U.S. prepaid mobile phone carrier that delivers wireless services through its subsidiary Cricket Communications.']
how did John F. Kennedy die?,"[""A post-assassination autopsy performed at Bethesda Naval Hospital in Washington, D.C., established that a single bullet had entered Kennedys base of the skull, smashing the right side of the president's""]"
how many members are in the house of representatives,"['The United States House of Representatives, commonly referred to as the House of Representatives, is one of the two chambers of the United States Congress (a bicameral, or two-house, legislature).']"
who has brad pitt dated,['Pitt is divorced from actress Jennifer Aniston and married to actress Angelina Jolie.']
when the body is systemic,"['The systemic circulation, sometimes called the large circulation to distinguish it from the microcirculation, is the portion of the cardiovascular system which transports blood to the capillaries, where it gives up most of its']"
what is the main component of vaccines,['In many cases vaccines contain chemicals used to preserve/stabilise the product or enhance the ability of the substance to stimulate the immune system.']
WHAT IS PARESTHESIAS OF HANDS,['Parethesis (Parethesia) refers to the feeling that a limb is disowned by a person. This term is used in the medical literature in two different ways.']
when to use semicolon,"['In certain programming languages (notably Pascal ), the semicolon is required to separate declarations within a block even when the declarations would be properly aligned without it.']"
what are layers of the ionosphere,"[""The ionosphere is a part of the upper atmosphere, ionized partly by the Sun's radiation and plays a very important role on radio wave propagation between the Sun, ionosphere, Earth's surface, and space.""]"
who invaded north africa during ww2,['The North African Campaign of the Second World War took place in North Africa from 10 June 1940 to 13 May 1943.']
when did qing dynasty begin,"['However, as the Qing Dynasty became established, rulers of the Qing Dynasty would adopt a Confucian approach towards ruling.']"
who are the members of the climax blues band?,"[""From 1974 to 1978 Climax was one of the most successful blues bands of the 70's.""]"
WHere is a famous alluvial plain,"['A floodplain, also referred to as an alluvial plain, is the land alongside or between the banks of a river or stream, including those who may be dry during parts of the year.']"
where is La Palma africa,['It is a member of the Canary Islands ( Spain ).']
what is the population of san francisco,"['The San Francisco, San Mateo, and Marin County area has a population of 4,335,391 (2010).']"
how did harmon killebrew get strong,['Killebrew played most of his career at third base and was a right-handed batter who threw left-handed.']
what is doxycycline hyclate used for,"['It is a tetracycline. It is used for the treatment of diseases that are caused by bacterium. Early models were able to translate just a single word at a time, but with some recent technology being applied']"
what is a popular people meter,['A people meter is an electronic device used for audience measurement and television viewer feedback that measures the viewing habits of television and cable viewers in order to provide the television industry with information regarding program popularity and ratings.']
what does continuous improvement mean,['Continuous improvement is a philosophy (not a process) that strives for an increase in performance and is founded on the premise that small improvements can lead to big changes when compounded over time.']
what year was christianity introduced to sub-saharan africa,['Christianity was virtually non-existent in Sub-Saharan Africa until the 19th century.']
what is the color puce,"['Puce is a soft, deep shade of purple, a ""dark, murky purple"" (according to Oxford Dictionaries ) similar to the color of blood or dried (thus, the deep color) blood which']"
how often does ham station need to ID?,"['In this case, the person asking the question is most likely an amateur, or ham radio operator.']"
who won the 1967 nba championship,"['The 1967 NBA Finals was among the most competitive series ever, but it was the sixth consecutive title for the 76ers.']"
what county is bolingbrook il in?,"['Bolingbrook is located at. Bolingbrook is also home to the worldwide headquarters of Nabisco, the parent company of Mondelez International.']"
what is an army specialist,['A specialist is a soldier of a specific military career field in the Army.']
what can sql 2005 do,['Microsoft SQL Server (usually referred to as SQL Server) is a relational database management system developed by Microsoft.']
"what is the concept of ""wellness"" ?","['According to the Wellness Enhancement Programs ""The Wellness Concept includes the broadest possible definition of health, extending far beyond the traditional view of health as merely the absence of disease, to include psychological, social, and spiritual as']"
what causes heart disease,"['Heart disease is a broad term for several types of heart conditions. It is the leading cause of death worldwide for both men and women according to the World Health Organization, resulting in 17.3 million deaths per year and 2']"
what food is in afghan,['Afghan Cuisine is a traditional Afghan cuisine. It is one of the oldest cuisines known to date.']
who set the world record for women for high jump,"['An Italian woman Fosca Lazzaroni jumped 1.61 m. High jump indoors on January 26, 2014 in Torino (Italy). Mohamed Saafi']"
what is petit lemans,"['For the current series, see Petit Le Mans.']"
what is a newsgroup message,"['An internet newsgroup (""newsgroup"" or ""Usenet newsgroup"") is a system of newsgroups, which are discussion groups about common interests, that are used around the world.']"
how a water pump works,"['A water pump is a device that moves water from one location to another. It can serve many uses, but is most commonly used to pump water from a low point to a high point.']"
what type of ecosystem does stingrays live in,['The stingray lives in many different habitats.']
what is in fruitcake,['Fruitcake']
what was the city of Mithridates,"['Mithridates VI, sometimes called Mithridates the Great (r. 120–63 BC), was king of Pontus (a Persian territory in the black sea ) and Armenia Minor (the Lesser Armen']"
what county is bethlehem pa in,"['For thousands of years, Bethlehem was mainly a predominantly Christian Arab town with a sizeable but shrinking Muslim minority.']"
when did texas become a state,"['Several petitions were presented to the General Government, and the subject was thoroughly discussed in the Convention of 1827, and the Constitutional Convention of 1835, but no action was taken until 1836.']"
Where Elephants Live,['The largest elephant populations occur in South and Southeast Asia.']
what religion is primary in africa?,['According to the World Christian Database the percentage of Christians relative to the whole population has increased from 15.1% (mostly Protestant) in 1945 to 67.1% (Protestant 33']
what is the si unit of pressure,"['Pressure is the amount of force applied on a surface, per unit area.']"
what is a group of deer called,"['A male group is a cete, a female group a harem. Other collective animal names for large mammals include herd (cattle, bison (or buffalo), elephants, and pronghorns) and']"
what is the erb/heart,"['The EARB, or End Artery Resection Balloon, is a balloon-inflated catheter that can be used to relieve narrowing of the main coronary artery to the heart caused by plaque']"
where is the tibia location,"['The tibia bone is the larger and stronger bone of the two bones which make up the tibia and fibula (lower leg), and constitutes the inner and larger part of the lower leg.']"
what is homebrew for wii,"['Homebrew video games, or homebrew games, are typically video games that are produced by consumers to fit the specific requirements of a dedicated video game console or computer.']"
what did tycho brahe do,['He was also the first to study a comet.']
where is the brisket from,"['Brisket is a cut of meat from the breast or lower chest of beef cattle, veal, lamb, hogs, or oxen.']"
what year was President kennedy president?,"['President John F. Kennedy was 43 years old when he completed his 1,036-day (1,038 including trial leaves) presidency in 1963, on November 22, 1']"
who make airbus,"['The airbus is a family of short, medium, and long-range commercial passenger jet airliners manufactured and marketed by the EADS subsidiary Airbus, and was designed and assembled in Europe.']"
who sang black velvet,"['""Black Velvet"" is a song by Canadian singer-songwriter Alannah Myles, the lead track and first single of her platinum-plus 1989 eponymous album.']"
what causes a small bowel obstruction,"['Smaller bowel obstructions can occur in the small bowel itself, the area between the stomach and the small bowel, or in the passageway that carries digested food out of the small bowel. :']"
what part of the pig do pork chops come from,"['The pork chop is a boneless cut of pork and can be prepared either as a lightly flavored, pan fried white meat slice or as a heavily seasoned dish braised in a barbecue sauce.']"
How Do You Play Spades,['The classic American game of Spades has been around for a couple of centuries. Today it can be played as a card game or in a computer version.']
what happened to george o'malley on grey's anatomy?,"['On March 18, 2009 ""Time Warp"" aired, revealing that after saving a ferry full of people, George O\'Malley ( Patrick Dempsey ) was hit by a bus while trying to']"
what was the actress who played the pink power ranger,"['Amy Jo Johnson (born October 6, 1970) is an American-born Canadian actress and singer.']"
